ID	CODE	URL	CREATOR	CREATED_T	LAST_MODIFIED_T	PRODUCT_NAME	GENERIC_NAME	QUANTITY	PACKAGING	PACKAGING_TAGS	BRANDS	BRANDS_TAGS	CATEGORIES	CATEGORIES_TAGS	ORIGINS	ORIGINS_TAGS	MANUFACTURING_PLACES	MANUFACTURING_PLACES_TAGS	LABELS	LABELS_TAGS	EMB_CODES	EMB_CODES_TAGS	CITIES	CITIES_TAGS	PURCHASE_PLACES	STORES	COUNTRIES	INGREDIENTS_TEXT	ALLERGENS	ALLERGENS_TAGS	TRACES	TRACES_TAGS	SERVING_SIZE	SERVING_QUANTITY	NO_NUTRIMENTS	ADDITIVES_N	ADDITIVES_TAGS	INGREDIENTS_FROM_PALM_OIL_N	INGREDIENTS_FROM_PALM_OIL	INGREDIENTS_FROM_PALM_OIL_TAGS	INGREDIENTS_THAT_MAY_BE_FROM_PALM_OIL_N	INGREDIENTS_THAT_MAY_BE_FROM_PALM_OIL	INGREDIENTS_THAT_MAY_BE_FROM_PALM_OIL_TAGS	NUTRITION_GRADE_FR	NOVA_GROUP	PNNS_GROUPS_1	PNNS_GROUPS_2	STATES	MAIN_CATEGORY	IMAGE_URL	IMAGE_SMALL_URL	IMAGE_FRONT_URL	IMAGE_FRONT_SMALL_URL	IMAGE_INGREDIENTS_URL	IMAGE_INGREDIENTS_SMALL_URL	IMAGE_NUTRITION_URL	IMAGE_NUTRITION_SMALL_URL	ENERGY_100G	ENERGY_FROM_FAT_100G	FAT_100G	SATURATED_FAT_100G	BUTYRIC_ACID_100G	CAPROIC_ACID_100G	CAPRYLIC_ACID_100G	CAPRIC_ACID_100G	LAURIC_ACID_100G	MYRISTIC_ACID_100G	PALMITIC_ACID_100G	STEARIC_ACID_100G	ARACHIDIC_ACID_100G	BEHENIC_ACID_100G	LIGNOCERIC_ACID_100G	CEROTIC_ACID_100G	MONTANIC_ACID_100G	MELISSIC_ACID_100G	MONOUNSATURATED_FAT_100G	POLYUNSATURATED_FAT_100G	OMEGA_3_FAT_100G	ALPHA_LINOLENIC_ACID_100G	EICOSAPENTAENOIC_ACID_100G	DOCOSAHEXAENOIC_ACID_100G	OMEGA_6_FAT_100G	LINOLEIC_ACID_100G	ARACHIDONIC_ACID_100G_GAMMA_LINOLENIC_ACID_100G	DIHOMO_GAMMA_LINOLENIC_ACID_100G	OMEGA_9_FAT_100G	OLEIC_ACID_100G	ELAIDIC_ACID_100G	GONDOIC_ACID_100G	MEAD_ACID_100G	ERUCIC_ACID_100G	NERVONIC_ACID_100G	TRANS_FAT_100GCHOLESTEROL_100G	CARBOHYDRATES_100G	SUGARS_100G	SUCROSE_100G	GLUCOSE_100G	FRUCTOSE_100G	LACTOSE_100G	MALTOSE_100G	MALTODEXTRINS_100G	STARCH_100G	POLYOLS_100G	FIBER_100G	PROTEINS_100G	CASEIN_100G	SERUM_PROTEINS_100G	NUCLEOTIDES_100G	SALT_100G	SODIUM_100G	ALCOHOL_100G	VITAMIN_A_100G	BETA_CAROTENE_100G	VITAMIN_D_100G	VITAMIN_E_100G	VITAMIN_K_100G	VITAMIN_C_100G	VITAMIN_B1_100G	VITAMIN_B2_100G	VITAMIN_PP_100G	VITAMIN_B6_100G	VITAMIN_B9_100G	FOLATES_100G	VITAMIN_B12_100G	BIOTIN_100G	PANTOTHENIC_ACID_100G	SILICA_100G	BICARBONATE_100G	POTASSIUM_100G	CHLORIDE_100G	CALCIUM_100G	PHOSPHORUS_100G	IRON_100G	MAGNESIUM_100G	ZINC_100G	COPPER_100G	MANGANESE_100G	FLUORIDE_100G	SELENIUM_100G	CHROMIUM_100G	MOLYBDENUM_100G	IODINE_100G	CAFFEINE_100G	TAURINE_100G	PH_100G	FRUITS_VEGETABLES_NUTS_100G	FRUITS_VEGETABLES_NUTS_DRIED_100G	FRUITS_VEGETABLES_NUTS_ESTIMATE_100G	COLLAGEN_MEAT_PROTEIN_RATIO_100G	COCOA_100G	CHLOROPHYL_100G	CARBON_FOOTPRINT_100G	CARBON_FOOTPRINT_FROM_MEAT_OR_FISH_100G	NUTRITION_SCORE_FR_100G	NUTRITION_SCORE_UK_100G	GLYCEMIC_INDEX_100G	WATER_HARDNESS_100G	CHOLINE_100G	PHYLLOQUINONE_100G	BETA_GLUCAN_100G	INOSITOL_100G	CARNITINE_100G
26850	1789560	https://world.openfoodfacts.org/product/01789560	kyzh	1417881560	1547756476	Pineapple chunks		425/255 g	canned	canned	Sainsbury's	sainsbury-s					Thailand	thailand	"Vegetarian, Vegan"	"en:vegetarian,en:vegan"					"london,uk"	"sainsbury, Sainsbury's"	United Kingdom	"Pineapple 60%,  Pineapple Juice 39.99,  Acidity Regulator: Citric Acid"								1	en:e330	0			0					unknown	unknown	"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-uploaded"										235	0	0.5	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	11	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0.0199898	0.00787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101795	3124480170033	https://world.openfoodfacts.org/product/3124480170033	keinsei	1343252326	1391470713	Pulco framboise		"1,5 l"	bouteille plastique	bouteille-plastique	pulco	pulco													"isle d'abeau,france"	carrefour	France	"eau de source 80% - jus de fruits à base de concentré 12% (citron 6%, orange 5%, dont pulpe 0,3%, framboise 1%) - sucre - acidifiant : acide citrique, arômes naturels, colorant : anthocyanes"						0		2	"en:e163,en:e330"	0			0					unknown	unknown	"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-uploaded"										114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	6	0	0	0	0	0	0	0	0	0.1	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101931	3124480173751	https://world.openfoodfacts.org/product/3124480173751	keinsei	1343252977	1443355500	Pulco passion		"1,5 l"	bouteille plastique	bouteille-plastique	pulco	pulco													"isle d'abeau,france"	carrefour	France	"eau de source 80% - jus de fruits à base de concentré 12% (orange 6%, citron, fruit de la passion 1%) - sucre - acidifiant : acide citrique, arôme naturel, antioxydant : acide ascorbique, colorant : acide carminique"						0		3	"en:e120,en:e300,en:e330"	0			0					unknown	unknown	"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-uploaded"										115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	6.1	0	0	0	0	0	0	0	0	0.1	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
147748	4606791006762	https://world.openfoodfacts.org/product/4606791006762	bleakpatch	1468946348	1468946717	Напиток безалкогольный на ароматизаторах негазированный		0.5 l			Вкус лимона	вкус-лимона					"Малаховка,Московская область,Россия,Люберецкий район"	"малаховка,московская-область,россия,люберецкий-район"	"EAC, ГОСТ 28188-2014"	"en:eac,ru:гост-28188-2014"					"Жуковский,Московская область,Россия"	Пятёрочка	Россия	"специально подготовленная питьевая вода, сахар, регулятор кислотности (лимонная кислота), ароматизатор натуральный, консерванты (сорбат калия, бензоат натрия), премикс витаминный (ниацин, пантотеновая кислота, витамин B6, фолиевая кислота, биотин, витамин B12)"						0		2	"en:e202,en:e330"	0			0					unknown	unknown	"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-uploaded"										71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
172688	6393500669	https://world.openfoodfacts.org/product/6393500669	openfoodfacts-contributors	1485658260	1485665818	Maxi Ail Extra-fort		2750 mcg d'aillicine			Adrien Gagnon	adrien-gagnon	Phytothérapie	fr:phytotherapie					NPN 80031612	fr:npn-80031612	EMAXF 200 50	emaxf-200-50			Lévis Québec Canada	Wallmart		"NOTE Liste d'ingrédients incomplète, voir le site du fabriquant.   Chaque comprimé contient  Ingrédients médicinaux: Ail... bulbe 275mg...        Ingrédient non médicinaux:  ... dioxyde de titane,,, A noter que le dioxyde de titane est classer cancérigène 2 B source https://fr.wikipedia.org/wiki/Dioxyde_de_titane Le 10 mars 2006, le Centre international de recherche sur le cancer (CIRC) a classé le dioxyde de titane cancérogène possible pour l'homme (catégorie 2 B)"						0		1	en:e171	0			0				4	unknown	unknown	"en:to-be-completed, en:nutrition-facts-to-be-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-uploaded"	fr:phytotherapie									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187885	8421686700909	https://world.openfoodfacts.org/product/8421686700909	malikele	1464885821	1464944913			75g	plastico	plastico											ES 12.05149/A EC	es-12-05149-a-ec			Finestrat	Carrefour	España	"Piel de salmon, aceite de girasol refinado y aromas: dextrosa, maltodextrina, amidon modificado, acode citrico, glutamato monosidico, 6-621 (5%), colorantes E-102, E-131"						0		3	"en:e102,en:e131,en:e621"	0			0					unknown	unknown	"en:to-be-completed, en:nutrition-facts-to-be-completed, en:ingredients-completed, en:expiration-date-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-to-be-completed, en:packaging-completed, en:quantity-completed, en:product-name-to-be-completed, en:photos-to-be-validated, en:photos-uploaded"										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
160685	5018804900094	https://world.openfoodfacts.org/product/5018804900094	openfoodfacts-contributors	1415023408	1415023916	Tarama Œufs de Cabillaud		145g	"Frais,Plastique"	"frais,plastique"	Yarden	yarden									FR 94.022.002 EC	fr-94-022-002-ec		choisy-le-roi-val-de-marne-france	Paris		France	"huile végatale 'colza ou tournesol), oeuf de cabillaud salés et fumés 30%, boisson au soja (eau, fèvres de soja 8%), jus de citron, sel, colorant E162, conservateur E211, épaississant E415"						0		3	"en:e162,en:e211,en:e415"	0			0					unknown	unknown	"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-uploaded"										2300	0	57	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.5	0.5	0	0	0	0	0	0	0	0	2.6	8	0	0	0	1.524	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1260	41387083262	https://world.openfoodfacts.org/product/0041387083262	usda-ndb-import	1489140635	1548166525	Iced Tea Mix		712 g	Lata de metal	lata-de-metal	4c	4c	"Alimentos y bebidas de origen vegetal,Bebidas,Bebidas para tomar calientes,Bebidas de origen vegetal,Tés,Plantas para infusiones,Tés con limón,Bebidas azucaradas,en:Polvo para bebidas,fr:Boissons sucrées"	"en:plant-based-foods-and-beverages,en:beverages,en:hot-beverages,en:plant-based-beverages,en:teas,en:herbal-teas,en:lemon-teas,en:polvo-para-bebidas"	Estados Unidos	estados-unidos	Ciudad de México	ciudad-de-mexico							Walmart	"Walmart,Sams Club"	"México,Estados Unidos"	"Sugar, citric acid, instant tea, caramel color, natural lemon flavor with other natural flavors, artificial color (f.d. & c red #40)."					15 g	15		3	"en:e129,en:e150a,en:e330"	0			0				4	unknown	unknown	"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded"	en:lemon-teas									7110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	86.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25856	1213201	https://world.openfoodfacts.org/product/01213201	yoasif	1422150220	1436991492	Diet Pepsi		2 L	Plastic Bottle	plastic-bottle	Pepsi	pepsi	"Beverages, Artificially sweetened beverages, Carbonated drinks, Diet beverages, Sodas, Diet sodas"	"en:beverages,en:artificially-sweetened-beverages,en:carbonated-drinks,en:diet-beverages,en:sodas,en:diet-sodas,en:non-alcoholic-beverages"											"Jamaica,NY,United States"	C-Town Supermarkets	United States	"Carbonated Water, Caramel Color, Aspartame, Phosphoric Acid, Potassium Benzoate, Caffeine, Citric Acid, Natural Flavor, Acesulfame Potassium"					12 fl oz	360		6	"en:e150a,en:e212,en:e330,en:e338,en:e950,en:e951"	0			0				4	Beverages	Artificially sweetened beverages	"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-uploaded"	en:diet-sodas									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0247	0.00972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38509	73141150040	https://world.openfoodfacts.org/product/0073141150040	usda-ndb-import	1489069490	1541702124	"Pocky, Chocolate Cream Covered Biscuit Sticks"		40 g	"Caja,Cartón"	"caja,carton"	Glico	glico			Tailandia	tailandia									México		"Mexico, United States"	"Wheat flour, sugar, chocolate liquor, bend of vegetable oil (interesterified sunflower oil, palm oil), whole milk powder, palm oil shortening, contains 1 percent or less of: cocoa butter, salt, artificial flavors, yeast, lecithin, polyglycerol polyricinoleate, leavening (sodium bicarbonate), monoglyceride, sodium hydroxide, papain."	en:gluten	en:gluten			40 g	40		4	"en:e322,en:e322i,en:e476,en:e500,en:e500ii,en:e524"	0			0					unknown	unknown	"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded"										2010	0	17.5	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	27.5	0	0	0	0	0	0	0	0	5	10	0	0	0	508	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0.0045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41414	3279632	https://world.openfoodfacts.org/product/03279632	openfoodfacts-contributors	1533645915	1533646853	Ham Salad sandwich		200 g			Tesco	tesco					United Kingdom	united-kingdom							"United Kingdom,Liverpool"	Tesco	United Kingdom	"Wheat Flour (_Wheat_ Flour, Calcium Carbonate, Iron, Niacin, Thiamin), Smoked Formed Ham (22%), Water, Tomato, Cucumber, Lettuce, Rapeseed Oil, Pasteurised _Egg_, White Wine Vinegar, Sugar, Cornflour, Brown Linseed, Golden Linseed, Millet Seeds, Poppy Seeds, Salt, Dried Skimmed _Milk_, Yeast, Emulsifiers (Mono- and Di-Glycerides of Fatty Acids, Mono- and Di-Acetyl Tartaric Acid Esters of Mono- and Di-Glycerides of Fatty Acids, Sodium Salts of Fatty Acids), Palm Oil, Concentrated Lemon Juice, Black Pepper, _Mustard_ Flour, Flour Treatment Agent (Ascorbic Acid), _Wheat_ Starch. _Smoked Formed Ham_ contains: Pork, Salt, Dextrose, Stabiliser (Sodium Triphosphate), Antioxidant (Sodium Ascorbate), Preservative (Sodium Nitrite)."		"en:eggs,en:gluten,en:milk,en:mustard,en:smoked-formed-ham"	en:sesame-seeds	en:sesame-seeds	200 g	200		7	"en:e250,en:e300,en:e301,en:e451,en:e471,en:e472e,en:e570"	0			0					unknown	unknown	"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded"										723	0	4	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.6	1.9	0	0	0	0	0	0	0	0	1.7	9.4	0	0	0	0.7	0.275590551181102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
133549	3560070339242	https://world.openfoodfacts.org/product/3560070339242	openfoodfacts-contributors	1340724922	1513881646	Sirop de Citron		1L	Bouteille en verre	bouteille-en-verre	Carrefour discount	carrefour-discount	"Boissons, Sirops, Sirops aromatisés, Sirops de citron"	"en:beverages,en:syrups,en:flavoured-syrups,en:lemon-syrups,en:non-alcoholic-beverages,en:unsweetened-beverages"					"Empreinte carbone, Empreinte carbone, Empreinte carbone, Empreinte carbone, Empreinte carbone"	"en:carbon-footprint,en:carbon-footprint,en:carbon-footprint,en:carbon-footprint,en:carbon-footprint,en:carbon-footprint,en:carbon-footprint,en:carbon-footprint,en:carbon-footprint"	EMB 14047A	emb-14047a		bayeux-calvados-france	France	Carrefour	France	Sirop de glucose  fructose de blé et/ou mais  eau  jus de citron à bas de concentré : 9%  sucre  acidifiant : acide citrique  arome naturel de citron avec autres aromes naturels  stabilisant : E445					2cL	0		2	"en:e330,en:e445"	0			0				4	Beverages	Sweetened beverages	"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-uploaded"	en:lemon-syrups									1155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0
146948	4400003745	https://world.openfoodfacts.org/product/4400003745	openfoodfacts-contributors	1434717489	1437141884	Nutter Butter		1.9 oz					Snacks	en:snacks											NY		United States	"Unbleached enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate (vitamin b1), riboflavin (vitamin b2), folic acid), sugar, _peanut_ butter (peanuts, corn syrup solids, hydrogenated rapeseed and/or cottonseed and/or soybean oils, peanut oil, salt), soybean oil and/or palm oil, graham flour (whole grain wheat flour), high fructose corn syrup, partially hydrogenated cottonseed oil, slat, leavening (baking soda and/or calcium phosphate), cornstarch, soy lecithin, vanilla"	peanut	"en:gluten,en:peanuts"			53g	53		1	"en:e322,en:e322i"	0			0				4	unknown	unknown	"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-uploaded"	en:snacks									0	0	20.8	4.72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69.8	32.1	0	0	0	0	0	0	0	0	1.89	7.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.151	0	0	0	0.00204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
87195	3250390033813	https://world.openfoodfacts.org/product/3250390033813	anrim	1534453891	1534454600	Pastis de Marseille		50 cl	Bouteille	bouteille	Pastouret	pastouret	"Boissons, Boissons alcoolisées, Alcools forts, Pastis"	"en:beverages,en:alcoholic-beverages,en:hard-liquors,fr:pastis"			"Jonquieres,France"	"jonquieres,france"							France	Intermarché	France	"Eau, alcool, sucre, extrait naturel de réglisse, anéthole de badiane 0.2%, colorant (caramel E150a)"					5 cl	50		1	en:e150a	0			0				4		Alcoholic beverages	"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-uploaded"	fr:pastis									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
169781	6005044000379	https://world.openfoodfacts.org/product/6005044000379	vinalti	1473375268	1473375726	Baked Beans in tomato sauce		410 g	Canned	canned	Rhodes	rhodes	Beans	en:beans			South Africa	south-africa	"Halal, Diabetes South Africa, Often food"	"en:halal,en:diabetes-south-africa,en:often-food"					South Africa	Pick N Pay	South Africa	"Beans, Water, Sugar, Tomato Paste, Modified Starch (Maize), Salt, Flavouring"			"Eggs,Milk,soya,wheat"	"en:eggs,en:gluten,en:milk,en:soybeans"	125 g	125		1	en:e14xx	0			0				4	unknown	unknown	"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-uploaded"	en:beans									290	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.2	5.1	0	0	0	0.62484	0.246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
148561	4710008211648	https://world.openfoodfacts.org/product/4710008211648	kiliweb	1525971459	1549880951	KUNG-FU Pollo		80g	Sobres	sobres	Ve Wong	ve-wong	Fideos instantáneos	"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:dried-products,en:dried-products-to-be-rehydrated,en:noodles,en:instant-noodles"	Taiwan	taiwan	Taiwan	taiwan							España		"Francia,España,Portugal"	"Preparado alimenticio a base de harina de TRIGO (76,2g): Harina de _TRIGO_ (72,24%), manteca de palma, estabilizador: goma guar, antioxidante: extracto rico en tocoferoles.  Condimento preparado deshidratado sabor a pollo (3,80g): Sal, potenciador del sabor: glutamato monosódico, ajo en polvo, salsa de _SOJA_ en polvo (habas de _SOJA_ modificada, _TRIGO_, sal, dextrina de maiz), aroma artificial de pollo (0,21%), cebolleta desecada, especias."		"en:gluten,en:soybeans"			80g	80		3	"en:e306,en:e412,en:e621"	0			0				4	Cereals and potatoes	Cereals	"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded"	en:instant-noodles									1900	0	21.2	11.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56.5	0	0	0	0	0	0	0	0	0	0	9.4	0	0	0	6	2.36220472440945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
